id 	,numSat 	,sumFlags 	,mass 	,centralMass 	,centralFlag 	,centralRband 	,firstSatMass 	,firstSatFlag 	,firstSatRband 
12534413 	,220 	,220 	,5.89e+14 	,4.86e+12 	,True 	,-2.6e+01 	,1.31e+11 	,True 	,-2.2e+01 
1431487 	,709 	,709 	,1.95e+15 	,9.66e+12 	,True 	,-2.7e+01 	,8.62e+11 	,True 	,-2.4e+01 
1431488 	,48 	,48 	,2.15e+14 	,2.53e+12 	,True 	,-2.5e+01 	,2.31e+11 	,True 	,-2.2e+01 
12582631 	,207 	,207 	,5.86e+14 	,3.90e+12 	,True 	,-2.6e+01 	,8.45e+11 	,True 	,-2.4e+01 
12582641 	,11 	,11 	,1.99e+14 	,4.19e+12 	,True 	,-2.7e+01 	,1.70e+12 	,True 	,-2.6e+01 
12632860 	,322 	,322 	,7.90e+14 	,3.92e+12 	,True 	,-2.6e+01 	,7.88e+11 	,True 	,-2.4e+01 
12632861 	,52 	,52 	,3.56e+14 	,6.94e+12 	,True 	,-2.6e+01 	,8.31e+10 	,True 	,-2.2e+01 
12632866 	,13 	,13 	,1.24e+14 	,3.79e+12 	,True 	,-2.6e+01 	,5.55e+10 	,True 	,-2.1e+01 
12698185 	,378 	,378 	,8.93e+14 	,3.56e+12 	,True 	,-2.6e+01 	,8.06e+11 	,True 	,-2.4e+01 
12698186 	,40 	,40 	,1.65e+14 	,3.28e+12 	,True 	,-2.5e+01 	,7.49e+10 	,True 	,-2.1e+01 
12698187 	,23 	,23 	,1.50e+14 	,3.35e+12 	,True 	,-2.5e+01 	,1.02e+11 	,True 	,-2.2e+01 
12698189 	,24 	,24 	,3.96e+14 	,4.36e+12 	,True 	,-2.6e+01 	,5.23e+10 	,True 	,-2.1e+01 
12698202 	,6 	,6 	,2.92e+14 	,4.89e+12 	,True 	,-2.6e+01 	,6.51e+11 	,True 	,-2.4e+01 
12698204 	,6 	,6 	,1.00e+14 	,3.93e+11 	,True 	,-2.4e+01 	,2.44e+10 	,True 	,-2.2e+01 
12755885 	,291 	,291 	,7.01e+14 	,3.15e+12 	,True 	,-2.5e+01 	,4.73e+11 	,True 	,-2.4e+01 
12755886 	,51 	,51 	,2.41e+14 	,3.39e+12 	,True 	,-2.5e+01 	,1.99e+11 	,True 	,-2.2e+01 
12755888 	,12 	,12 	,1.39e+14 	,3.71e+12 	,True 	,-2.6e+01 	,5.03e+10 	,True 	,-2.1e+01 
12755961 	,1 	,1 	,1.02e+14 	,2.97e+12 	,True 	,-2.6e+01 	,3.27e+10 	,True 	,-2.1e+01 
12816749 	,195 	,195 	,5.76e+14 	,5.80e+12 	,True 	,-2.6e+01 	,5.11e+11 	,True 	,-2.3e+01 
12816757 	,11 	,11 	,1.11e+14 	,3.49e+12 	,True 	,-2.6e+01 	,5.49e+10 	,True 	,-2.1e+01 
12816768 	,9 	,9 	,1.22e+14 	,1.70e+12 	,True 	,-2.5e+01 	,5.17e+09 	,True 	,-1.9e+01 
12871237 	,295 	,295 	,7.55e+14 	,4.91e+12 	,True 	,-2.6e+01 	,1.18e+12 	,True 	,-2.4e+01 
12871238 	,27 	,27 	,1.18e+14 	,2.44e+12 	,True 	,-2.5e+01 	,6.24e+10 	,True 	,-2.1e+01 
12871239 	,11 	,11 	,2.45e+14 	,7.13e+12 	,True 	,-2.7e+01 	,1.55e+11 	,True 	,-2.2e+01 
12925049 	,305 	,305 	,7.80e+14 	,3.54e+12 	,True 	,-2.6e+01 	,8.99e+11 	,True 	,-2.4e+01 
12925051 	,31 	,31 	,4.23e+14 	,8.92e+12 	,True 	,-2.7e+01 	,2.63e+11 	,True 	,-2.3e+01 
12925053 	,17 	,17 	,1.51e+14 	,2.20e+12 	,True 	,-2.5e+01 	,8.16e+10 	,True 	,-2.1e+01 
12925054 	,25 	,25 	,4.89e+14 	,6.93e+12 	,True 	,-2.6e+01 	,6.60e+10 	,True 	,-2.1e+01 
12981983 	,130 	,130 	,3.62e+14 	,3.42e+12 	,True 	,-2.5e+01 	,3.06e+11 	,True 	,-2.3e+01 
12981985 	,23 	,23 	,2.44e+14 	,1.17e+12 	,True 	,-2.4e+01 	,1.01e+11 	,True 	,-2.2e+01 
13035077 	,317 	,317 	,9.03e+14 	,4.98e+12 	,True 	,-2.6e+01 	,3.02e+11 	,True 	,-2.3e+01 
13035078 	,24 	,24 	,1.14e+14 	,2.42e+12 	,True 	,-2.5e+01 	,6.18e+11 	,True 	,-2.4e+01 
13035164 	,3 	,3 	,1.01e+14 	,2.02e+12 	,True 	,-2.6e+01 	,1.59e+12 	,True 	,-2.6e+01 
13083432 	,261 	,261 	,5.94e+14 	,2.63e+12 	,True 	,-2.5e+01 	,9.39e+11 	,True 	,-2.4e+01 
13083435 	,5 	,5 	,1.41e+14 	,3.54e+12 	,True 	,-2.6e+01 	,3.80e+10 	,True 	,-2.1e+01 
13133868 	,348 	,348 	,9.29e+14 	,4.58e+12 	,True 	,-2.6e+01 	,7.20e+11 	,True 	,-2.4e+01 
13133869 	,37 	,37 	,1.42e+14 	,1.49e+12 	,True 	,-2.5e+01 	,5.60e+10 	,True 	,-2.1e+01 
13176044 	,157 	,157 	,4.29e+14 	,2.85e+12 	,True 	,-2.5e+01 	,1.28e+12 	,True 	,-2.4e+01 
13176045 	,22 	,22 	,1.79e+14 	,3.28e+12 	,True 	,-2.5e+01 	,5.81e+10 	,True 	,-2.1e+01 
13176049 	,19 	,19 	,1.41e+14 	,3.73e+12 	,True 	,-2.6e+01 	,8.51e+10 	,True 	,-2.1e+01 
13231280 	,282 	,282 	,7.48e+14 	,4.85e+12 	,True 	,-2.6e+01 	,6.21e+11 	,True 	,-2.4e+01 
13231281 	,52 	,52 	,2.23e+14 	,4.33e+12 	,True 	,-2.6e+01 	,1.44e+11 	,True 	,-2.2e+01 
13231282 	,28 	,28 	,4.62e+14 	,5.73e+12 	,True 	,-2.6e+01 	,8.60e+10 	,True 	,-2.1e+01 
13231283 	,36 	,36 	,2.10e+14 	,2.81e+12 	,True 	,-2.5e+01 	,1.45e+11 	,True 	,-2.2e+01 
13291544 	,271 	,271 	,6.70e+14 	,5.30e+12 	,True 	,-2.6e+01 	,8.99e+10 	,True 	,-2.2e+01 
13291547 	,6 	,6 	,1.37e+14 	,3.49e+12 	,True 	,-2.5e+01 	,1.38e+09 	,True 	,-1.8e+01 
36 	,7 	,7 	,1.19e+14 	,3.18e+12 	,True 	,-2.5e+01 	,2.21e+10 	,True 	,-2.1e+01 
13341116 	,269 	,269 	,7.38e+14 	,4.11e+12 	,True 	,-2.6e+01 	,6.43e+11 	,True 	,-2.4e+01 
